nodes,iter,rs,init,fini,open,close,write,read,flush,prefetch,interface,workload,storage,access_pattern,file_sharing,process_grouping
1,1024,  4096,0.000000,0.000000,0.003855,0.000208,0.000641,0.016797,0.000000,0.000000,  POSIX,worm,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.001588,0.000094,0.000641,0.008220,0.000000,0.000000,  POSIX,worm,2,1,0,1
1,1024,  4096,0.000000,0.000000,0.000832,0.000083,0.000517,0.009690,0.000000,0.000000,  POSIX,worm,2,1,0,2
1,1024,  4096,0.000000,0.000000,0.003928,0.000816,0.002098,0.007847,0.000000,0.000000,  STDIO,worm,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.001162,0.000330,0.000826,0.005441,0.000000,0.000000,  STDIO,worm,2,1,0,1
1,1024,  4096,0.000000,0.000000,0.000945,0.000081,0.000509,0.005480,0.000000,0.000000,  STDIO,worm,2,1,0,2
1,1024,  4096,0.000000,0.000000,0.009145,0.001624,0.000812,0.016540,0.000000,0.000000,  MPIIO,worm,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.004678,0.000729,0.000866,0.008471,0.000000,0.000000,  MPIIO,worm,2,1,0,1
1,1024,  4096,0.000000,0.000000,0.003071,0.000536,0.000522,0.009874,0.000000,0.000000,  MPIIO,worm,2,1,0,2
2,1024,  4096,0.000000,0.000000,0.000093,0.000006,0.004533,0.000000,1.911112,0.000000,  POSIX,  wo,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000084,0.000027,0.003716,0.000000,1.759236,0.000000,  STDIO,  wo,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.012667,0.000800,0.006278,0.000000,1.947370,0.000000,  MPIIO,  wo,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000013,0.000004,0.000000,0.004197,0.000000,0.013385,  POSIX,  ro,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000017,0.000029,0.000000,0.003346,0.000000,0.012973,  STDIO,  ro,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000724,0.000402,0.000000,0.004527,0.000000,0.015524,  MPIIO,  ro,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000111,0.000010,0.004581,0.004029,1.757559,0.000000,  POSIX, raw,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000030,0.000006,0.004160,0.003684,1.639199,0.000000,  POSIX, raw,0,0,0,2
2,1024,  4096,0.000000,0.000000,0.000116,0.000043,0.003712,0.003228,1.673750,0.000000,  STDIO, raw,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000036,0.000026,0.003440,0.002913,1.665140,0.000000,  STDIO, raw,0,0,0,2
2,1024,  4096,0.000000,0.000000,0.003736,0.001713,0.006200,0.004343,1.787104,0.000000,  MPIIO, raw,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000012,0.000006,0.006130,0.000000,1.859355,0.000000,  POSIX,update,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000186,0.000023,0.008026,0.000000,1.770080,0.000000,  STDIO,update,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000704,0.000746,0.005899,0.000000,2.029875,0.000000,  MPIIO,update,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000124,0.000012,0.001449,0.004005,1.846704,0.000000,  POSIX,worm,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000033,0.000006,0.000484,0.003732,1.789171,0.000000,  POSIX,worm,0,0,0,2
2,1024,  4096,0.000000,0.000000,0.000111,0.000044,0.001444,0.003190,1.801287,0.000000,  STDIO,worm,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000036,0.000023,0.000484,0.003040,1.828892,0.000000,  STDIO,worm,0,0,0,2
2,1024,  4096,0.000000,0.000000,0.003813,0.001666,0.001411,0.004404,1.888564,0.000000,  MPIIO,worm,0,0,0,0
2,1024,  4096,0.000000,0.000000,0.000014,0.000004,0.000000,0.004175,0.000000,0.017628,  POSIX,  ro,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000019,0.000050,0.000000,0.003384,0.000000,0.014286,  STDIO,  ro,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000742,0.000448,0.000000,0.004490,0.000000,0.015190,  MPIIO,  ro,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000108,0.000010,0.004609,0.004013,1.718898,0.000000,  POSIX, raw,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000034,0.000006,0.004246,0.003688,1.684029,0.000000,  POSIX, raw,0,1,0,2
2,1024,  4096,0.000000,0.000000,0.000110,0.000045,0.003769,0.003208,1.887500,0.000000,  STDIO, raw,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000034,0.000027,0.003441,0.002912,1.626281,0.000000,  STDIO, raw,0,1,0,2
2,1024,  4096,0.000000,0.000000,0.006882,0.001832,0.006210,0.004325,1.467897,0.000000,  MPIIO, raw,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000012,0.000005,0.005966,0.000000,1.738340,0.000000,  POSIX,update,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000214,0.000025,0.009028,0.000000,1.742826,0.000000,  STDIO,update,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000726,0.000703,0.005881,0.000000,1.806572,0.000000,  MPIIO,update,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000125,0.000012,0.001431,0.004063,1.841688,0.000000,  POSIX,worm,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000031,0.000006,0.000468,0.003745,1.714111,0.000000,  POSIX,worm,0,1,0,2
2,1024,  4096,0.000000,0.000000,0.000102,0.000043,0.001432,0.003307,1.710371,0.000000,  STDIO,worm,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000034,0.000023,0.000464,0.002997,1.532077,0.000000,  STDIO,worm,0,1,0,2
