nodes,workload,access_pattern,file_sharing,process_grouping,rs,"('wo flush', 'best')","('wo flush', 'best_time')","('wo flush', 'worst')","('wo flush', 'worst_time')","('w flush', 'best')","('w flush', 'best_time')","('w flush', 'worst')","('w flush', 'worst_time')",improvement,improvement_f
32,worm,random,fpp,prod-cons same node,1048576,STDIO-shm,0.297261,STDIO-pfs,1.944916,STDIO-shm,2.949255,STDIO-pfs,1.944916,6.5427889968748,2.782244466606454
32,worm,random,fpp,same,4096,MPIIO-bb,0.0021873599999999997,MPIIO-pfs,0.017293,MPIIO-bb,1.93798136,MPIIO-pfs,0.017293,7.905877404725332,256.36914632722176
32,worm,random,fpp,same,65536,POSIX-shm,0.034408,MPIIO-bb,0.08425871999999998,POSIX-shm,1.405048,MPIIO-bb,1.59235772,2.448811904208323,44.27520422633116
32,worm,random,fpp,same,1048576,MPIIO-shm,0.526717,MPIIO-pfs,6.696308,MPIIO-shm,4.832307999999999,MPIIO-pfs,6.696308,12.7132938560935,1.8177970323168056
32,worm,seq,fpp,prod-cons inter node,4096,STDIO-pfs,0.010127,POSIX-pfs,0.013016,STDIO-pfs,0.010127,POSIX-pfs,0.013016,1.285276982324479,1.285276982324479
32,worm,seq,fpp,prod-cons inter node,65536,MPIIO-pfs,0.039416,STDIO-pfs,0.053257,MPIIO-pfs,0.039416,STDIO-pfs,0.053257,1.3511518165212097,1.3511518165212097
32,worm,seq,fpp,prod-cons inter node,1048576,POSIX-pfs,2.456307,STDIO-pfs,2.625391,POSIX-pfs,2.456307,STDIO-pfs,2.625391,1.0688366722889282,1.0688366722889282
32,worm,seq,fpp,prod-cons same node,4096,POSIX-bb,0.00160608,MPIIO-pfs,0.010258999999999999,POSIX-bb,1.68401008,MPIIO-pfs,0.010258999999999999,6.387602111974497,409.92682926829275
32,worm,seq,fpp,prod-cons same node,65536,POSIX-shm,0.021347,STDIO-bb,0.046956,POSIX-shm,1.297633,STDIO-bb,1.331093,2.19965334707453,46.986969665381004
32,worm,seq,fpp,prod-cons same node,1048576,STDIO-shm,0.297123,STDIO-pfs,1.345176,STDIO-shm,2.753957,STDIO-pfs,1.345176,4.527337163396976,3.6401595713878203
